,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[646],0.157,0.036,0.097,0.23,0.001,0.001,840.0,772.0,1.0
mu[647],2.016,0.261,1.542,2.526,0.009,0.007,891.0,857.0,1.0
mu[648],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[649],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[650],0.844,0.119,0.608,1.059,0.004,0.003,793.0,809.0,1.0
mu[651],0.967,0.134,0.762,1.278,0.004,0.003,941.0,811.0,1.0
mu[652],1.032,0.146,0.779,1.327,0.005,0.004,899.0,737.0,1.0
mu[653],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[654],1.105,0.25,0.666,1.602,0.009,0.007,860.0,722.0,1.0
mu[655],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[656],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[657],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[658],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[659],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[660],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[661],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[662],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[663],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[664],1.315,0.217,0.898,1.74,0.007,0.007,894.0,683.0,1.0
mu[665],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[666],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[667],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[668],1.253,0.174,0.925,1.578,0.006,0.004,760.0,773.0,1.0
mu[669],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[670],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[671],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[672],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[673],1.065,0.232,0.629,1.499,0.009,0.006,706.0,658.0,1.0
mu[674],0.148,0.031,0.087,0.205,0.001,0.001,857.0,794.0,1.01
mu[675],2.033,0.255,1.576,2.55,0.009,0.006,754.0,816.0,1.0
mu[676],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[677],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[678],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[679],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[680],1.156,0.181,0.807,1.49,0.007,0.006,790.0,713.0,1.0
mu[681],1.092,0.151,0.796,1.39,0.005,0.004,918.0,773.0,1.0
mu[682],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
mu[683],0.148,0.031,0.087,0.205,0.001,0.001,857.0,794.0,1.01
mu[684],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[685],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[686],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[687],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[688],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[689],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[690],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[691],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[692],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[693],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[694],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[695],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[696],1.032,0.146,0.779,1.327,0.005,0.004,899.0,737.0,1.0
mu[697],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[698],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[699],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[700],1.253,0.174,0.925,1.578,0.006,0.004,760.0,773.0,1.0
mu[701],0.844,0.119,0.608,1.059,0.004,0.003,793.0,809.0,1.0
mu[702],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[703],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[704],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[705],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[706],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[707],1.156,0.181,0.807,1.49,0.007,0.006,790.0,713.0,1.0
mu[708],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[709],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[710],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[711],1.101,0.161,0.818,1.447,0.006,0.004,765.0,701.0,1.0
mu[712],1.208,0.204,0.818,1.617,0.007,0.006,751.0,735.0,1.0
mu[713],2.295,0.292,1.798,2.886,0.011,0.008,740.0,704.0,1.0
mu[714],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[715],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[716],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[717],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[718],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[719],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[720],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[721],0.976,0.135,0.716,1.244,0.005,0.004,824.0,814.0,1.0
mu[722],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[723],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[724],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[725],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[726],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[727],1.216,0.203,0.818,1.586,0.008,0.007,671.0,705.0,1.01
mu[728],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[729],1.092,0.151,0.796,1.39,0.005,0.004,918.0,773.0,1.0
mu[730],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[731],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[732],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[733],1.023,0.159,0.725,1.345,0.006,0.005,742.0,778.0,1.0
mu[734],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[735],0.14,0.03,0.083,0.198,0.001,0.001,791.0,730.0,1.0
mu[736],0.967,0.134,0.762,1.278,0.004,0.003,941.0,811.0,1.0
mu[737],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[738],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[739],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[740],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[741],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[742],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[743],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[744],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[745],0.164,0.038,0.096,0.242,0.001,0.001,803.0,774.0,1.0
mu[746],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[747],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[748],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[749],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[750],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[751],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[752],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[753],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[754],1.172,0.174,0.857,1.522,0.006,0.005,717.0,759.0,1.0
mu[755],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[756],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[757],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[758],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[759],1.069,0.177,0.72,1.397,0.006,0.005,807.0,814.0,1.0
mu[760],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[761],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[762],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[763],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[764],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[765],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[766],1.032,0.146,0.779,1.327,0.005,0.004,899.0,737.0,1.0
mu[767],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[768],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[769],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[770],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[771],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[772],0.164,0.038,0.096,0.242,0.001,0.001,803.0,774.0,1.0
mu[773],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[774],1.253,0.174,0.925,1.578,0.006,0.004,760.0,773.0,1.0
mu[775],2.407,0.355,1.727,3.088,0.013,0.009,761.0,816.0,1.0
mu[776],1.023,0.159,0.725,1.345,0.006,0.005,742.0,778.0,1.0
mu[777],1.123,0.16,0.828,1.425,0.006,0.005,689.0,736.0,1.0
mu[778],1.165,0.188,0.811,1.524,0.007,0.006,767.0,582.0,1.0
mu[779],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[780],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[781],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[782],0.149,0.032,0.095,0.213,0.001,0.001,830.0,810.0,1.0
mu[783],0.967,0.134,0.762,1.278,0.004,0.003,941.0,811.0,1.0
mu[784],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[785],1.278,0.191,0.893,1.641,0.007,0.005,812.0,577.0,1.0
mu[786],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[787],0.164,0.038,0.096,0.242,0.001,0.001,803.0,774.0,1.0
mu[788],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[789],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[790],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[791],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[792],0.997,0.156,0.683,1.263,0.006,0.004,747.0,752.0,1.0
mu[793],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[794],0.971,0.218,0.591,1.421,0.008,0.006,718.0,610.0,1.0
mu[795],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[796],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[797],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[798],0.954,0.14,0.694,1.236,0.005,0.004,779.0,775.0,1.0
mu[799],1.102,0.15,0.833,1.428,0.005,0.004,800.0,757.0,1.0
mu[800],2.226,0.342,1.588,2.929,0.012,0.009,808.0,850.0,1.0
mu[801],1.253,0.174,0.925,1.578,0.006,0.004,760.0,773.0,1.0
mu[802],2.033,0.255,1.576,2.55,0.009,0.006,754.0,816.0,1.0
mu[803],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[804],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[805],2.295,0.292,1.798,2.886,0.011,0.008,740.0,704.0,1.0
mu[806],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[807],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[808],1.101,0.161,0.818,1.447,0.006,0.004,765.0,701.0,1.0
mu[809],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[810],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[811],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[812],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[813],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[814],2.149,0.283,1.662,2.775,0.01,0.008,789.0,590.0,1.0
mu[815],2.131,0.302,1.594,2.719,0.011,0.008,784.0,737.0,1.0
mu[816],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[817],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[818],1.253,0.174,0.925,1.578,0.006,0.004,760.0,773.0,1.0
mu[819],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[820],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[821],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[822],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[823],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[824],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[825],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[826],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[827],2.407,0.355,1.727,3.088,0.013,0.009,761.0,816.0,1.0
mu[828],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[829],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[830],0.159,0.035,0.092,0.226,0.001,0.001,788.0,774.0,1.0
mu[831],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[832],0.139,0.031,0.085,0.203,0.001,0.001,783.0,774.0,1.0
mu[833],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[834],1.164,0.163,0.852,1.517,0.005,0.004,908.0,743.0,1.0
mu[835],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[836],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[837],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[838],1.101,0.161,0.818,1.447,0.006,0.004,765.0,701.0,1.0
mu[839],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[840],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[841],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[842],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[843],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[844],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[845],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[846],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[847],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[848],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[849],0.148,0.031,0.087,0.205,0.001,0.001,857.0,794.0,1.01
mu[850],2.427,0.328,1.833,3.055,0.011,0.009,831.0,857.0,1.0
mu[851],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[852],0.14,0.03,0.083,0.198,0.001,0.001,791.0,730.0,1.0
mu[853],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[854],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[855],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[856],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[857],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[858],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[859],0.14,0.03,0.083,0.198,0.001,0.001,791.0,730.0,1.0
mu[860],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[861],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[862],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[863],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[864],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[865],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[866],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[867],0.148,0.031,0.087,0.205,0.001,0.001,857.0,794.0,1.01
mu[868],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[869],1.134,0.245,0.705,1.639,0.009,0.008,750.0,644.0,1.0
mu[870],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[871],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[872],2.033,0.255,1.576,2.55,0.009,0.006,754.0,816.0,1.0
mu[873],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[874],0.132,0.028,0.082,0.19,0.001,0.001,784.0,855.0,1.0
mu[875],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[876],0.14,0.03,0.083,0.198,0.001,0.001,791.0,730.0,1.0
mu[877],1.075,0.235,0.629,1.515,0.009,0.007,758.0,662.0,1.0
mu[878],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[879],1.075,0.235,0.629,1.515,0.009,0.007,758.0,662.0,1.0
mu[880],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[881],1.105,0.25,0.666,1.602,0.009,0.007,860.0,722.0,1.0
mu[882],1.172,0.174,0.857,1.522,0.006,0.005,717.0,759.0,1.0
mu[883],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[884],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[885],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[886],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[887],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[888],2.277,0.306,1.683,2.88,0.01,0.009,860.0,816.0,1.0
mu[889],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[890],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[891],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[892],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[893],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[894],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[895],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[896],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[897],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[898],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[899],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[900],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[901],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[902],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[903],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[904],1.325,0.195,0.997,1.727,0.007,0.006,834.0,774.0,1.0
mu[905],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[906],1.07,0.13,0.847,1.368,0.005,0.004,793.0,672.0,1.0
mu[907],0.798,0.096,0.615,0.982,0.003,0.003,902.0,771.0,1.01
mu[908],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[909],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[910],2.016,0.261,1.542,2.526,0.009,0.007,891.0,857.0,1.0
mu[911],2.23,0.245,1.784,2.697,0.009,0.006,745.0,770.0,1.0
mu[912],0.152,0.033,0.085,0.211,0.001,0.001,811.0,702.0,1.0
mu[913],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[914],1.092,0.151,0.796,1.39,0.005,0.004,918.0,773.0,1.0
mu[915],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[916],2.338,0.307,1.722,2.888,0.011,0.009,750.0,775.0,1.0
mu[917],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[918],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[919],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[920],0.997,0.156,0.683,1.263,0.006,0.004,747.0,752.0,1.0
mu[921],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[922],1.128,0.261,0.669,1.661,0.01,0.007,674.0,791.0,1.0
mu[923],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[924],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[925],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[926],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[927],1.287,0.166,0.974,1.612,0.006,0.005,766.0,734.0,1.0
mu[928],0.901,0.113,0.67,1.121,0.004,0.003,834.0,814.0,1.0
mu[929],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[930],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[931],0.131,0.028,0.083,0.188,0.001,0.001,815.0,735.0,1.0
mu[932],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[933],0.976,0.135,0.716,1.244,0.005,0.004,824.0,814.0,1.0
mu[934],0.971,0.218,0.591,1.421,0.008,0.006,718.0,610.0,1.0
mu[935],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[936],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[937],0.927,0.121,0.701,1.167,0.004,0.003,741.0,790.0,1.0
mu[938],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[939],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[940],0.967,0.134,0.762,1.278,0.004,0.003,941.0,811.0,1.0
mu[941],0.882,0.134,0.628,1.137,0.005,0.004,824.0,660.0,1.0
mu[942],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[943],2.226,0.342,1.588,2.929,0.012,0.009,808.0,850.0,1.0
mu[944],1.172,0.174,0.857,1.522,0.006,0.005,717.0,759.0,1.0
mu[945],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[946],0.934,0.103,0.75,1.164,0.004,0.004,698.0,698.0,1.0
mu[947],1.06,0.125,0.811,1.292,0.004,0.003,834.0,767.0,1.0
mu[948],0.148,0.031,0.087,0.205,0.001,0.001,857.0,794.0,1.01
mu[949],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[950],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[951],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[952],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[953],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[954],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[955],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[956],1.11,0.155,0.827,1.416,0.006,0.004,652.0,662.0,1.0
mu[957],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[958],0.909,0.111,0.689,1.111,0.004,0.003,801.0,788.0,1.0
mu[959],0.961,0.123,0.728,1.191,0.004,0.005,791.0,724.0,1.0
mu[960],1.207,0.152,0.945,1.54,0.005,0.004,791.0,594.0,1.0
mu[961],1.333,0.199,0.955,1.686,0.008,0.006,652.0,688.0,1.01
mu[962],1.325,0.195,0.997,1.727,0.007,0.006,834.0,774.0,1.0
mu[963],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[964],1.131,0.14,0.868,1.414,0.005,0.004,774.0,679.0,1.0
mu[965],0.153,0.032,0.095,0.215,0.001,0.001,791.0,744.0,1.0
mu[966],1.032,0.146,0.779,1.327,0.005,0.004,899.0,737.0,1.0
mu[967],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[968],1.172,0.174,0.857,1.522,0.006,0.005,717.0,759.0,1.0
mu[969],2.358,0.276,1.817,2.867,0.01,0.008,778.0,770.0,1.0
mu[970],0.875,0.089,0.692,1.048,0.003,0.002,734.0,825.0,1.0
mu[971],1.217,0.149,0.949,1.508,0.006,0.004,726.0,668.0,1.0
mu[972],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[973],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[974],0.967,0.134,0.762,1.278,0.004,0.003,941.0,811.0,1.0
mu[975],0.144,0.029,0.084,0.195,0.001,0.001,857.0,768.0,1.0
mu[976],0.805,0.097,0.637,1.001,0.003,0.003,809.0,861.0,1.0
mu[977],0.851,0.107,0.644,1.072,0.004,0.004,829.0,649.0,1.0
mu[978],2.277,0.306,1.683,2.88,0.01,0.009,860.0,816.0,1.0
mu[979],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
mu[980],0.967,0.131,0.716,1.229,0.005,0.003,686.0,772.0,1.0
mu[981],2.427,0.328,1.833,3.055,0.011,0.009,831.0,857.0,1.0
mu[982],2.016,0.261,1.542,2.526,0.009,0.007,891.0,857.0,1.0
mu[983],2.211,0.248,1.758,2.695,0.009,0.008,856.0,710.0,1.0
mu[984],0.145,0.03,0.088,0.196,0.001,0.001,830.0,768.0,1.0
mu[985],0.883,0.093,0.689,1.045,0.003,0.003,808.0,756.0,1.0
